"Sample Information, archaeological provenance & compositional data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE IDENTIFICATION,,,,,LOCATION,,,,,,,PETROGRAPHIC DESCRIPTION,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,METHOD CODE,PARAMETER,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeOT,CaO,MgO,MnO,K2O,Na2O,P2O5,Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age,Age SD sigma
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Petrography,Comments,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,"[citation code][ _ ][A], [B], etc.",UNIT,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,Ma,
must match TAB 1 COL I,,RESERVED TO ADMIN,see drop-down list,,Archipelago,Island name,Locality,,,,,,,must match TAB 1 COL L,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL O,,,see drop-down list,,"Level, Square, etc.",,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,must match TAB 5 COL A,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,2σ
Charleux-2014-JPA,Eiao-1,Charleux-2014-JPA_Eiao-1,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.0,,12.8,,,8.6,,0.13,1.0,,,,,,,,,,,,,,,,,,,,23.0,,,,103.0,14.0,98.0,,,,,,21.0,621.6,,294.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-100,Charleux-2014-JPA_Eiao-100,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.9,,12.1,,,7.4,,0.1,1.0,,,,,,,,,,,,,,,,,,,,102.0,,,,142.0,19.0,91.0,,,,,,20.0,607.3,,307.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-101,Charleux-2014-JPA_Eiao-101,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.9,,13.3,,,6.8,,0.09,1.2,,,,,,,,,,,,,,,,,,,,99.0,,,,66.0,16.0,121.0,,,,,,27.0,607.3,,310.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-102,Charleux-2014-JPA_Eiao-102,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.4,,14.8,,,9.6,,0.13,0.9,,,,,,,,,,,,,,,,,,,,33.0,,,,95.0,8.0,129.0,,,,,,21.0,633.8,,314.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-103,Charleux-2014-JPA_Eiao-103,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.4,,14.0,,,9.5,,0.15,1.1,,,,,,,,,,,,,,,,,,,,36.0,,,,41.0,31.0,99.0,,,,,,29.0,607.3,,288.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-106,Charleux-2014-JPA_Eiao-106,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,3.9,,12.0,,,7.8,,0.1,1.2,,,,,,,,,,,,,,,,,,,,0.0,,,,47.0,14.0,87.0,,,,,,27.0,591.1,,306.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-107,Charleux-2014-JPA_Eiao-107,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,4.6,,12.8,,,9.1,,0.12,0.6,,,,,,,,,,,,,,,,,,,,76.0,,,,103.0,0.0,93.0,,,,,,20.0,594.1,,313.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleux-2014-JPA,Eiao-109,Charleux-2014-JPA_Eiao-109,SOURCE,Artefact used as source,MARQUESAS,EIAO,NA,,-8.0,-140.7,,,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,,Whole rock,Sample surface,,,,Charleux-2014-JPA_A,,,3.8,,10.9,,,8.8,,0.11,0.9,,,,,,,,,,,,,,,,,,,,0.0,,,,104.0,21.0,64.0,,,,,,20.0,628.7,,315.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
