Sample Information & archaeological provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE IDENTIFICATION,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,PETROGRAPHIC DESCRIPTION,,LOCATION,,,,,,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,Petrography,Comments,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments
must match TAB 1 COL H,,RESERVED TO ADMIN,see drop-down list,,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,,,Archipelago,Island name,Locality,,,,,must match TAB 1 COL K,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL N,,,see drop-down list,,"Level, Square, etc.",
Charleux-2014-JPA,Eiao-1,Charleux-2014-JPA_Eiao-1,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-100,Charleux-2014-JPA_Eiao-100,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-101,Charleux-2014-JPA_Eiao-101,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-102,Charleux-2014-JPA_Eiao-102,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-103,Charleux-2014-JPA_Eiao-103,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-106,Charleux-2014-JPA_Eiao-106,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-107,Charleux-2014-JPA_Eiao-107,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-109,Charleux-2014-JPA_Eiao-109,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-111,Charleux-2014-JPA_Eiao-111,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
