Data source,,,,,,,,,,,,,,,
DATA SOURCE,,,,,,,CITATION 1 - DATA,,,CITATION 2 - ARTEFACT,,,CITATION 3 - SITE,,
Dataset ID,Title,Abstract,Authors(s),Institution of the author,Creator,Contact info,Source ID 1,Complete reference 1,DOI 1,Source ID 2,Complete reference 2,DOI 2,Source ID 3,Complete reference 3,DOI 3
charleux2014,"Characterization of archaeological quarries, sources, and artefacts from the island of Eiao","Geological material and archaeological artefacts from Eiao (Marquesas Islands, French Polynesia) were analysed using two different non-destructive EDXRF spectrometer","1. McAlister, Andrew ; 2. Mills, Peter; Lundblad, Steven","1. University of Auckland (New Zealand), 2. University of Hawai'i at Hilo (USA)","Hermann, Aymeric",aymeric.hermann@cnrs.fr,charleux2014,"Charleux, M., McAlister, A., Mills, P. R. & Lundblad, S. P. Non-destructive XRF Analyses of Fine-grained Basalts from Eiao, Marquesas Islands. Journal of Pacific Archaeology 5, 75–89 (2014).",,charleux2014,"Charleux, M., McAlister, A., Mills, P. R. & Lundblad, S. P. Non-destructive XRF Analyses of Fine-grained Basalts from Eiao, Marquesas Islands. Journal of Pacific Archaeology 5, 75–89 (2014).",,charleux2014,"Charleux, M., McAlister, A., Mills, P. R. & Lundblad, S. P. Non-destructive XRF Analyses of Fine-grained Basalts from Eiao, Marquesas Islands. Journal of Pacific Archaeology 5, 75–89 (2014).",
clark2014,Sourcing of artefacts from Tonga and Samoa.,"Stone tools recovered from the central places of the Tongan state were geochemically analyzed to provide the first archaeological assessment of maritime interaction in the Central Pacific, with a high proportion of tools (66%) identified as long-distance imports from Fiji, Samoa, and the Society Islands.","Geoffrey R. Clark (a), Christian Reepmeyer (a), Nivaleti Melekiola (b), Jon Woodhead (c), William R. Dickinson (d), and Helene Martinsson-Wallin (e)",(a) Australian National University (Australia); (b) Lapaha Town Council (Tonga) (c) University of Melbourne (Australia); (d) University of Arizona (USA); (e) Uppsala University (Sweden),"Hermann, Aymeric",aymeric.hermann@cnrs.fr,clark2014,"Clark, G. R. et al. Stone tools from the ancient Tongan state reveal prehistoric interaction centers in the Central Pacific. PNAS 111, 10491–10496 (2014).",10.1073/pnas.1406165111,clark2014,"Clark, G. R. et al. Stone tools from the ancient Tongan state reveal prehistoric interaction centers in the Central Pacific. PNAS 111, 10491–10496 (2014).",10.1073/pnas.1406165111,clark2014,"Clark, G. R. et al. Stone tools from the ancient Tongan state reveal prehistoric interaction centers in the Central Pacific. PNAS 111, 10491–10496 (2014).",10.1073/pnas.1406165111
clark2014,,,,,,,,,,poulsen1987,"Poulsen, J. Early Tongan prehistory : the Lapita period on Tongatapu and its relationships. (Department of Prehistory, Research School of Pacific Studies, 1987).",,poulsen1987,"Poulsen, J. Early Tongan prehistory : the Lapita period on Tongatapu and its relationships. (Department of Prehistory, Research School of Pacific Studies, 1987).",
clark2014,,,,,,,,,,,,,ishimura2006,"Ishimura, T. & Inoue, T. Archaeological excavations at the Si’utu midden site, Savai’i Island. Journal of Samoan Studies 2, 43–56 (2007).",
collerson2007,"Sourcing of artefacts from in the Tuamotu islands, French Polynesia.","Trace element and isotope compositions are used to source artefacts collected from surface contexts in the Tuamotu. Adzes are sourced to different islands of Central Eastern Polynesia (Marquesas, Austral, Society Islands, and Pitcairn Group), and one was adze is of similar composition than Kaho'olawe Island hawaiites.","Collerson K.D., Weisler M.I.",University of Queensland (Australia),"Hermann, Aymeric",aymeric.hermann@cnrs.fr,collerson2007,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,collerson2007,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,collerson2007,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013
collerson2007,,,,,,,,,,emory1975,"Emory, K. P. Material Culture of the Tuamotu Archipelago. (1975).",,emory1975,"Emory, K. P. Material Culture of the Tuamotu Archipelago. (1975).",
collerson2007,,,,,,,,,,cleghorn1985,"Cleghorn, P. L., Weisler, M., Dye, T. & Sinton, J. A preliminary petrographic study of Hawaiian stone adze quarries. Journal of the Polynesian Society 94, 235–251 (1985).",,cleghorn1985,"Cleghorn, P. L., Weisler, M., Dye, T. & Sinton, J. A preliminary petrographic study of Hawaiian stone adze quarries. Journal of the Polynesian Society 94, 235–251 (1985).",
collerson2007,,,,,,,,,,mccoy1993,"Mc Coy, P., Makanani, A. & Sinoto, A. Archaeological investigations of the Pu’u Moiwi adze quarry complex, Kaho’olawe. 204 (Kaho’olawe Island Conveyance Commission, 1993).",,mccoy1993,"Mc Coy, P., Makanani, A. & Sinoto, A. Archaeological investigations of the Pu’u Moiwi adze quarry complex, Kaho’olawe. 204 (Kaho’olawe Island Conveyance Commission, 1993).",
collerson2007,,,,,,,,,,weisler1990,"Weisler, M. I. Technological, petrographic, and geochemical analysis of the Kapohaku adze quarry, Lana’i, Hawai’ian Islands. New Zealand Journal of Archaeology 12, 29–50 (1990).",,weisler1990,"Weisler, M. I. Technological, petrographic, and geochemical analysis of the Kapohaku adze quarry, Lana’i, Hawai’ian Islands. New Zealand Journal of Archaeology 12, 29–50 (1990).",
collerson2007,,,,,,,,,,mintmier2012,"Mintmier, M. A., Mills, P. R. & Lundblad, S. P. Energy-Dispersive X-Ray Fluorescence analysis of Haleakalā basalt adze quarry materials, Maui, Hawai'i. Journal of Archaeological Science 39, 615–623 (2012).",https://doi.org/10.1016/j.jas.2011.10.019,mintmier2012,"Mintmier, M. A., Mills, P. R. & Lundblad, S. P. Energy-Dispersive X-Ray Fluorescence analysis of Haleakalā basalt adze quarry materials, Maui, Hawai'i. Journal of Archaeological Science 39, 615–623 (2012).",https://doi.org/10.1016/j.jas.2011.10.019
