Source ID 1,Sample ID,Method ID,Note,SiO2 %,TiO2 %,Al2O3 %,Fe2O3 %,FeO %,FeOT %,CaO %,MgO %,MnO %,K2O %,Na2O %,P2O5 %,Li ppm,Be ppm,B ppm,C ppm,CO2 ppm,F ppm,Na ppm,Mg ppm,Al ppm,P ppm,S ppm,Cl ppm,K ppm,Ca ppm,Sc ppm,Ti ppm,V ppm,Cr ppm,Mn ppm,Fe ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,Ge ppm,As ppm,Se ppm,Br ppm,Rb ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Ru ppm,Rh ppm,Pd ppm,Ag ppm,Cd ppm,In ppm,Sn ppm,Sb ppm,Te ppm,I ppm,Cs ppm,Ba ppm,La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Hf ppm,Ta ppm,W ppm,Re ppm,Os ppm,Ir ppm,Pt ppm,Au ppm,Hg ppm,Tl ppm,Pb ppm,Bi ppm,Th ppm,U ppm,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age Ma,Age SD sigma 
charleux2014,charleux2014_Eiao-1,charleux2014_A,,,4,,12.8,,,8.6,,0.13,1,,,,,,,,,,,,,,,,,,,,23,,,,103,14,98,,,,,,21,621.6,,294,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-100,charleux2014_A,,,4.9,,12.1,,,7.4,,0.1,1,,,,,,,,,,,,,,,,,,,,102,,,,142,19,91,,,,,,20,607.3,,307,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-101,charleux2014_A,,,4.9,,13.3,,,6.8,,0.09,1.2,,,,,,,,,,,,,,,,,,,,99,,,,66,16,121,,,,,,27,607.3,,310,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-102,charleux2014_A,,,4.4,,14.8,,,9.6,,0.13,0.9,,,,,,,,,,,,,,,,,,,,33,,,,95,8,129,,,,,,21,633.8,,314,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-103,charleux2014_A,,,4.4,,14,,,9.5,,0.15,1.1,,,,,,,,,,,,,,,,,,,,36,,,,41,31,99,,,,,,29,607.3,,288,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-106,charleux2014_A,,,3.9,,12,,,7.8,,0.1,1.2,,,,,,,,,,,,,,,,,,,,<LOD,,,,47,14,87,,,,,,27,591.1,,306,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-107,charleux2014_A,,,4.6,,12.8,,,9.1,,0.12,0.6,,,,,,,,,,,,,,,,,,,,76,,,,103,<LOD,93,,,,,,20,594.1,,313,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-109,charleux2014_A,,,3.8,,10.9,,,8.8,,0.11,0.9,,,,,,,,,,,,,,,,,,,,<LOD,,,,104,21,64,,,,,,20,628.7,,315,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-111,charleux2014_A,,,4.2,,14.4,,,10.1,,0.16,1,,,,,,,,,,,,,,,,,,,,115,,,,77,42,81,,,,,,24,587,,291,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-112,charleux2014_A,,,4.6,,13.6,,,9.5,,0.13,1.5,,,,,,,,,,,,,,,,,,,,161,,,,28,15,105,,,,,,21,593.1,,298,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
