Method ID,Parameter,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
charleux2014_A,TiO2,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,2.6,,,,,,,,,,,,,,,
charleux2014_A,Fe2O3,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,12.1,,,,,,,,,,,,,,,
charleux2014_A,CaO,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,10.8,,,,,,,,,,,,,,,
charleux2014_A,MnO,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,0.16,,,,,,,,,,,,,,,
charleux2014_A,K2O,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,0.5,,,,,,,,,,,,,,,
charleux2014_A,Cr,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,257,,,,,,,,,,,,,,,
charleux2014_A,Ni,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,125,,,,,,,,,,,,,,,
charleux2014_A,Cu,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,139,,,,,,,,,,,,,,,
charleux2014_A,Zn,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,105,,,,,,,,,,,,,,,
charleux2014_A,Rb,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,9,,,,,,,,,,,,,,,
charleux2014_A,Sr,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,392,,,,,,,,,,,,,,,
charleux2014_A,Zr,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,175,,,,,,,,,,,,,,,
charleux2014_A,Nb,Whole rock,Sample surface,,,,ED-XRF,Innov-X Alpha,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,18,,,,,,,,,,,,,,,
charleux2014_B,TiO2,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,2.7,,,,,,,,,,,,,,,
charleux2014_B,Fe2O3,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,12.3,,,,,,,,,,,,,,,
charleux2014_B,CaO,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,11.6,,,,,,,,,,,,,,,
charleux2014_B,MnO,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,0.17,,,,,,,,,,,,,,,
charleux2014_B,K2O,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,0.5,,,,,,,,,,,,,,,
