Vocabularies,
,
"This tab contains the suggested Vocabularies for data submission to Pofatu: Sample information, Artefact category and description, Site description, Parameter, Technique.",
Contact us with questions or additions: hermann@shh.mpg.de,
Last modified: 23 October 2020,
,
SAMPLE CATEGORY,Sample Category description
SOURCE,"Sample related to natural raw material, as a primary geological source location"
ARTEFACT,"Sample related to used material, transformed or not, that was removed and transported from its primary geological source location"
,
ARTEFACT CATEGORY,Artefact Category description
ADZE,
ADZE PREFORM,
CHISEL,
COBBLE,Natural cobbles
CORE,
FLAKE,Undetermined flake
RETOUCHED FLAKE,Flake tool with retouched edge
RAW MATERIAL,Untransformed material transported from primary geological source to archaeological site
ARCHITECTURAL,Material transported from primary geological source and used as an element of architecture
GRINDSTONE,
PICK,
OVENSTONE,Stone (generally porphyric and vacuolar) used in earth oven
HAMMERSTONE,Stone used as hammer
NA,No information
,
ARTEFACT ATTRIBUTES,Artefact attributes description
COMPLETE,Complete artefact
FRAGMENT,Undetermined fragment of artefact
FRAGMENT (PROXIMAL),"Proximal end fragment (side of flake butt, or opposite side of point or cutting edge)"
FRAGMENT (MESIAL),Mesial part of artefact
FRAGMENT (DISTAL),Distal end fragment (side of point or cutting edge)
NATURAL DYKE,Prismatic material extracted from dyke seam
NATURAL BOULDER/COBBLE,Redeposited material
NATURAL PRISM,Prismatic material (from dyke seam or other formations)
NA,No information
,
SITE CONTEXT,Site Context description
AGRICULTURAL,
CEREMONIAL,
DOMESTIC,
DEFENSIVE,
FUNERAL,
MIDDEN,
NATURAL,
QUARRY,
ROCKSHELTER,
WORKSHOP,
NA,
,
ANALYZED MATERIAL 1,Analyzed Material description
Whole rock,
Fused disk,
Volcanic glass,
Mineral,
,
ANALYZED MATERIAL 2,Analyzed Material description
Core sample,
Powder,
Probe sample,
Sample surface,
NA,
,
PARAMETER,Parameter description
AB,albite
AC,acmite
ACC,accessory minerals
ACETATE,acetate
ACT,actinolite
ACT-HORN,actinolitic hornblende
AEG,aegirine
Ag,silver
Age,sample age
AI,age item
Al,aluminum
Al2O3,aluminium oxide
ALK,alkalinity
ALKENONE,alkenone
ALLA,allanite
ALM,almandine
AL-SAP,aluminum saponite
ALT,alteration product
AMES,amesite
AMG,amygdule
AMPH,amphibole
AM-SI,amorphous silica
AN,anorthite
ANAL,analcite
ANCL,anorthoclase
AND,andalusite
ANDR,andradite
ANH,anhydrite
ANOR,anorthosite
APA,apatite
Ar,argon
Ar36,argon isotope ar36
Ar36_Ar38,ratio of argon isotopes ar36 to ar38
Ar36_Ar40,ratio of argon isotopes ar36 to ar40
Ar37_Ar40,ratio of ar37 to ar40
Ar38,argon isotope ar38
Ar38_Ar36,ratio of argon isotopes ar38 to ar36
Ar39,argon isotope ar39
Ar39_Ar40,ratio of argon isotopes ar39 to ar40
Ar40,argon isotope ar40
Ar40*,radiogenic ar40
Ar40_Ar36,ratio of argon isotopes ar40 to ar36
Ar40_Ar36(I),initial ar40 to ar36 ratio
Ar40_Ar39,ratio of argon isotopes ar40 to ar39
Ar40_ATM,atmospheric argon isotope ar40
Ar40_He4,ratio of argon isotopes ar40 to helium isotope he4
Ar40_RG,radiogenic ar40
Ar40RG_Ar39K,ratio of radiogenic ar40 to ar39 produced from k
ARA,aragonite
ARMA,armalcolite
As,arsenic
Au,gold
AUG,augite
AWA,awaruite
B,boron
B_Ca,ratio of boron to calcium
B11_B10,boron isotope
Ba,barium
Ba_Ca,ratio of barium to calcium
BaO,barium oxide
BaSO4,barite
Be,beryllium
Be10,beryllium isotope be10
Be10_Be9,ratio of beryllium isotopes be10 to be9
Be10_Be9(T),"ratio of isotopes be10 to be 9, time corrected"
Be9,beryllium isotope be9
Bi,bismuth
BIO,biotite
Br,bromium
BROMIDE,bromide
BST,bastite
BZT,bronzite
C,carbon
C(INORG),inorganic carbon
C(ORG),organic carbon
C(TOT),total carbon
C_(non-carb),non-carbonate carbon
C_N,ratio of organic carbon to total nitrogen
C14_AGE,c14_age
Ca,calcium
Ca_K,ratio of calcium to potassium
CaCO3,calcium carbonate
CALC,calcite
CALCITE,calcite
CALIBRATED C14_AGE,calibrated c14_age
CaO,calcium oxide
Ca-OL,calcium-olivine
CAP_DELTA_S33,"deviation of delta_s33 from the terrestrial fractionation array, calculated as delta_s33 minus 1000 times (delta_s34 divided by 1000 then plus one) taken to the 0.515th power) minus 1 or cap_delta_33s=delta_s33-1000×[(delta_s34/1000+1)^0.515-1]"
CARB,carbonate
CASU,calcium sulfate
CATS,calcium tschermak molecule
CCR,calcium chromium clinopyroxene
Cd,cadmium
Cd_Ca,ratio of cadmium to calcium
Ce,cerium
Ce136_Ce142,ratio of cerium isotopes ce136 to ce142
Ce138_Ce142,ratio of cerium isotopes ce138 to ce142
Ce140_Nd146,ratio of cerium to neodymium isotopes ce140 to nd146
