ID,code,parameter,analyzed_material_1,analyzed_material_2,sample_preparation,chemical_treatment,technique,laboratory,analyst,number_of_replicates,instrument,date,comment,detection_limit,detection_limit_unit,total_procedural_blank_value,total_procedural_unit
charleux2014a_tio2,charleux2014_A,TiO2,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_fe2o3,charleux2014_A,Fe2O3,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_cao,charleux2014_A,CaO,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_mno,charleux2014_A,MnO,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_k2o,charleux2014_A,K2O,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_cr,charleux2014_A,Cr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_ni,charleux2014_A,Ni,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_cu,charleux2014_A,Cu,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_zn,charleux2014_A,Zn,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_rb,charleux2014_A,Rb,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_sr,charleux2014_A,Sr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_zr,charleux2014_A,Zr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014a_nb,charleux2014_A,Nb,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Alpha,2013.0,,,,,
charleux2014b_tio2,charleux2014_B,TiO2,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
