Method_ID,Normalization_ID
hermann2017d_age,hermann2017d_age-ACs
mcalister2019a_k,mcalister2019a_k-K
mcalister2019a_ca,mcalister2019a_ca-Ca
mcalister2019a_ti,mcalister2019a_ti-Ti
mcalister2019a_mn,mcalister2019a_mn-Mn
mcalister2019a_fe,mcalister2019a_fe-Fe
mcalister2019a_zn,mcalister2019a_zn-Zn
mcalister2019a_rb,mcalister2019a_rb-Rb
mcalister2019a_sr,mcalister2019a_sr-Sr
mcalister2019a_y,mcalister2019a_y-Y
mcalister2019a_zr,mcalister2019a_zr-Zr
mcalister2019a_nb,mcalister2019a_nb-Nb
