Method_ID,Reference_sample_ID
charleux2014jpaa_tio2,charleux2014jpaa_tio2-BHVO-1
charleux2014jpaa_fe2o3,charleux2014jpaa_fe2o3-BHVO-1
charleux2014jpaa_cao,charleux2014jpaa_cao-BHVO-1
charleux2014jpaa_mno,charleux2014jpaa_mno-BHVO-1
charleux2014jpaa_k2o,charleux2014jpaa_k2o-BHVO-1
charleux2014jpaa_cr,charleux2014jpaa_cr-BHVO-1
charleux2014jpaa_ni,charleux2014jpaa_ni-BHVO-1
charleux2014jpaa_cu,charleux2014jpaa_cu-BHVO-1
charleux2014jpaa_zn,charleux2014jpaa_zn-BHVO-1
charleux2014jpaa_rb,charleux2014jpaa_rb-BHVO-1
charleux2014jpaa_sr,charleux2014jpaa_sr-BHVO-1
charleux2014jpaa_zr,charleux2014jpaa_zr-BHVO-1
charleux2014jpaa_nb,charleux2014jpaa_nb-BHVO-1
charleux2014jpab_tio2,charleux2014jpab_tio2-BHVO-1
charleux2014jpab_fe2o3,charleux2014jpab_fe2o3-BHVO-1
charleux2014jpab_cao,charleux2014jpab_cao-BHVO-1
charleux2014jpab_mno,charleux2014jpab_mno-BHVO-1
charleux2014jpab_k2o,charleux2014jpab_k2o-BHVO-1
charleux2014jpab_v,charleux2014jpab_v-BHVO-1
charleux2014jpab_cr,charleux2014jpab_cr-BHVO-1
charleux2014jpab_ni,charleux2014jpab_ni-BHVO-1
charleux2014jpab_cu,charleux2014jpab_cu-BHVO-1
charleux2014jpab_zn,charleux2014jpab_zn-BHVO-1
charleux2014jpab_rb,charleux2014jpab_rb-BHVO-1
charleux2014jpab_sr,charleux2014jpab_sr-BHVO-1
charleux2014jpab_y,charleux2014jpab_y-BHVO-1
charleux2014jpab_zr,charleux2014jpab_zr-BHVO-1
charleux2014jpab_nb,charleux2014jpab_nb-BHVO-1
charleux2014jpab_pb,charleux2014jpab_pb-BHVO-1
charleux2014jpac_sio2,charleux2014jpac_sio2-BHVO-1
charleux2014jpac_tio2,charleux2014jpac_tio2-BHVO-1
charleux2014jpac_al2o3,charleux2014jpac_al2o3-BHVO-1
charleux2014jpac_fe2o3,charleux2014jpac_fe2o3-BHVO-1
charleux2014jpac_cao,charleux2014jpac_cao-BHVO-1
charleux2014jpac_mgo,charleux2014jpac_mgo-BHVO-1
charleux2014jpac_mno,charleux2014jpac_mno-BHVO-1
charleux2014jpac_k2o,charleux2014jpac_k2o-BHVO-1
charleux2014jpac_na2o,charleux2014jpac_na2o-BHVO-1
charleux2014jpac_v,charleux2014jpac_v-BHVO-1
charleux2014jpac_ni,charleux2014jpac_ni-BHVO-1
charleux2014jpac_cu,charleux2014jpac_cu-BHVO-1
charleux2014jpac_zn,charleux2014jpac_zn-BHVO-1
charleux2014jpac_rb,charleux2014jpac_rb-BHVO-1
charleux2014jpac_sr,charleux2014jpac_sr-BHVO-1
charleux2014jpac_y,charleux2014jpac_y-BHVO-1
charleux2014jpac_zr,charleux2014jpac_zr-BHVO-1
charleux2014jpac_nb,charleux2014jpac_nb-BHVO-1
charleux2014jpac_ba,charleux2014jpac_ba-BHVO-1
charleux2014jpac_pb,charleux2014jpac_pb-BHVO-1
clark2014pnasa_ti,clark2014pnasa_ti-ANU9000
clark2014pnasa_mn,clark2014pnasa_mn-ANU9000
clark2014pnasa_fe,clark2014pnasa_fe-ANU9000
clark2014pnasa_rb,clark2014pnasa_rb-ANU9000
clark2014pnasa_sr,clark2014pnasa_sr-ANU9000
clark2014pnasa_y,clark2014pnasa_y-ANU9000
clark2014pnasa_zr,clark2014pnasa_zr-ANU9000
clark2014pnasa_nb,clark2014pnasa_nb-ANU9000
clark2014pnasc_sio2,clark2014pnasc_sio2-ANU9000
clark2014pnasc_tio2,clark2014pnasc_tio2-ANU9000
clark2014pnasc_al2o3,clark2014pnasc_al2o3-ANU9000
clark2014pnasc_fe2o3,clark2014pnasc_fe2o3-ANU9000
clark2014pnasc_cao,clark2014pnasc_cao-ANU9000
clark2014pnasc_mgo,clark2014pnasc_mgo-ANU9000
clark2014pnasc_mno,clark2014pnasc_mno-ANU9000
clark2014pnasc_k2o,clark2014pnasc_k2o-ANU9000
clark2014pnasc_na2o,clark2014pnasc_na2o-ANU9000
clark2014pnasd_ca,clark2014pnasd_ca-ANU9000
clark2014pnasd_sc,clark2014pnasd_sc-ANU9000
clark2014pnasd_ti,clark2014pnasd_ti-ANU9000
clark2014pnasd_v,clark2014pnasd_v-ANU9000
clark2014pnasd_cr,clark2014pnasd_cr-ANU9000
clark2014pnasd_mn,clark2014pnasd_mn-ANU9000
clark2014pnasd_ni,clark2014pnasd_ni-ANU9000
clark2014pnasd_cu,clark2014pnasd_cu-ANU9000
clark2014pnasd_zn,clark2014pnasd_zn-ANU9000
clark2014pnasd_ga,clark2014pnasd_ga-ANU9000
clark2014pnasd_ge,clark2014pnasd_ge-ANU9000
clark2014pnasd_as,clark2014pnasd_as-ANU9000
clark2014pnasd_rb,clark2014pnasd_rb-ANU9000
clark2014pnasd_sr,clark2014pnasd_sr-ANU9000
clark2014pnasd_y,clark2014pnasd_y-ANU9000
clark2014pnasd_zr,clark2014pnasd_zr-ANU9000
clark2014pnasd_nb,clark2014pnasd_nb-ANU9000
clark2014pnasd_mo,clark2014pnasd_mo-ANU9000
clark2014pnasd_sn,clark2014pnasd_sn-ANU9000
clark2014pnasd_cs,clark2014pnasd_cs-ANU9000
clark2014pnasd_ba,clark2014pnasd_ba-ANU9000
clark2014pnasd_la,clark2014pnasd_la-ANU9000
clark2014pnasd_ce,clark2014pnasd_ce-ANU9000
clark2014pnasd_pr,clark2014pnasd_pr-ANU9000
clark2014pnasd_nd,clark2014pnasd_nd-ANU9000
clark2014pnasd_sm,clark2014pnasd_sm-ANU9000
clark2014pnasd_eu,clark2014pnasd_eu-ANU9000
clark2014pnasd_gd,clark2014pnasd_gd-ANU9000
clark2014pnasd_tb,clark2014pnasd_tb-ANU9000
clark2014pnasd_dy,clark2014pnasd_dy-ANU9000
