ID,reference_sample_name,reference_sample_accepted_value,citation
hermann2017jasrd_age-ACs,ACs,1.193 Ma,"Nomade et al., 2005"
mcalister2019aoa_k-K,K,489.818,GSJ
mcalister2019aoa_ca-Ca,Ca,100772.7,GSJ
mcalister2019aoa_ti-Ti,Ti,3357.2000000000007,GSJ
mcalister2019aoa_mn-Mn,Mn,1006.85,GSJ
mcalister2019aoa_fe-Fe,Fe,46789.86,GSJ
mcalister2019aoa_zn-Zn,Zn,48.5,GSJ
mcalister2019aoa_rb-Rb,Rb,2.9,GSJ
mcalister2019aoa_sr-Sr,Sr,438.0,GSJ
mcalister2019aoa_y-Y,Y,4.5,GSJ
mcalister2019aoa_zr-Zr,Zr,11.6,GSJ
mcalister2019aoa_nb-Nb,Nb,1.9,GSJ
