ID,sample_name,sample_measured_value,uncertainty,uncertainty_unit,number_of_measurements
charleux2014a_tio2-BHVO-1,BHVO-1,2.6,,,
charleux2014a_fe2o3-BHVO-1,BHVO-1,12.1,,,
charleux2014a_cao-BHVO-1,BHVO-1,10.8,,,
charleux2014a_mno-BHVO-1,BHVO-1,0.16,,,
charleux2014a_k2o-BHVO-1,BHVO-1,0.5,,,
charleux2014a_cr-BHVO-1,BHVO-1,257,,,
charleux2014a_ni-BHVO-1,BHVO-1,125,,,
charleux2014a_cu-BHVO-1,BHVO-1,139,,,
charleux2014a_zn-BHVO-1,BHVO-1,105,,,
charleux2014a_rb-BHVO-1,BHVO-1,9,,,
charleux2014a_sr-BHVO-1,BHVO-1,392,,,
charleux2014a_zr-BHVO-1,BHVO-1,175,,,
charleux2014a_nb-BHVO-1,BHVO-1,18,,,
charleux2014b_tio2-BHVO-1,BHVO-1,2.7,,,
charleux2014b_fe2o3-BHVO-1,BHVO-1,12.3,,,
charleux2014b_cao-BHVO-1,BHVO-1,11.6,,,
charleux2014b_mno-BHVO-1,BHVO-1,0.17,,,
charleux2014b_k2o-BHVO-1,BHVO-1,0.5,,,
charleux2014b_v-BHVO-1,BHVO-1,351,,,
charleux2014b_cr-BHVO-1,BHVO-1,248,,,
charleux2014b_ni-BHVO-1,BHVO-1,126,,,
charleux2014b_cu-BHVO-1,BHVO-1,140,,,
charleux2014b_zn-BHVO-1,BHVO-1,101,,,
charleux2014b_rb-BHVO-1,BHVO-1,10,,,
charleux2014b_sr-BHVO-1,BHVO-1,395,,,
charleux2014b_y-BHVO-1,BHVO-1,29,,,
charleux2014b_zr-BHVO-1,BHVO-1,180,,,
charleux2014b_nb-BHVO-1,BHVO-1,21,,,
charleux2014b_pb-BHVO-1,BHVO-1,2,,,
charleux2014c_sio2-BHVO-1,BHVO-1,50,,,
charleux2014c_tio2-BHVO-1,BHVO-1,2.7,,,
charleux2014c_al2o3-BHVO-1,BHVO-1,14,,,
charleux2014c_fe2o3-BHVO-1,BHVO-1,12.7,,,
charleux2014c_cao-BHVO-1,BHVO-1,11.1,,,
charleux2014c_mgo-BHVO-1,BHVO-1,7,,,
charleux2014c_mno-BHVO-1,BHVO-1,0.16,,,
charleux2014c_k2o-BHVO-1,BHVO-1,0.6,,,
charleux2014c_na2o-BHVO-1,BHVO-1,2,,,
charleux2014c_v-BHVO-1,BHVO-1,370,,,
charleux2014c_ni-BHVO-1,BHVO-1,86,,,
charleux2014c_cu-BHVO-1,BHVO-1,144,,,
charleux2014c_zn-BHVO-1,BHVO-1,80,,,
charleux2014c_rb-BHVO-1,BHVO-1,11,,,
charleux2014c_sr-BHVO-1,BHVO-1,398,,,
charleux2014c_y-BHVO-1,BHVO-1,27,,,
charleux2014c_zr-BHVO-1,BHVO-1,191,,,
charleux2014c_nb-BHVO-1,BHVO-1,20,,,
charleux2014c_ba-BHVO-1,BHVO-1,136,,,
charleux2014c_pb-BHVO-1,BHVO-1,0,,,
clark2014a_ti-ANU9000,ANU9000,,,,
clark2014a_mn-ANU9000,ANU9000,,,,
clark2014a_fe-ANU9000,ANU9000,,,,
clark2014a_rb-ANU9000,ANU9000,,,,
clark2014a_sr-ANU9000,ANU9000,,,,
clark2014a_y-ANU9000,ANU9000,,,,
clark2014a_zr-ANU9000,ANU9000,,,,
clark2014a_nb-ANU9000,ANU9000,,,,
clark2014c_sio2-ANU9000,ANU9000,,,,
clark2014c_tio2-ANU9000,ANU9000,,,,
clark2014c_al2o3-ANU9000,ANU9000,,,,
clark2014c_fe2o3-ANU9000,ANU9000,,,,
clark2014c_cao-ANU9000,ANU9000,,,,
clark2014c_mgo-ANU9000,ANU9000,,,,
clark2014c_mno-ANU9000,ANU9000,,,,
clark2014c_k2o-ANU9000,ANU9000,,,,
clark2014c_na2o-ANU9000,ANU9000,,,,
clark2014d_ca-ANU9000,ANU9000,,,,
clark2014d_sc-ANU9000,ANU9000,6.5161419121,0.7429735647,ppm,16
clark2014d_ti-ANU9000,ANU9000,1626.3033220975,45.7486055188,ppm,16
clark2014d_v-ANU9000,ANU9000,5.6567110705,0.0839617809,ppm,16
clark2014d_cr-ANU9000,ANU9000,1.1261500921,0.5466674067,ppm,16
clark2014d_mn-ANU9000,ANU9000,454.0751654452,13.7249237415,ppm,16
clark2014d_ni-ANU9000,ANU9000,,,,
clark2014d_cu-ANU9000,ANU9000,3.0651701837,0.2128769118,ppm,16
clark2014d_zn-ANU9000,ANU9000,,,,
clark2014d_ga-ANU9000,ANU9000,,,,
clark2014d_as-ANU9000,ANU9000,6.8262635445,0.6869616743,ppm,16
clark2014d_rb-ANU9000,ANU9000,51.5006471916,1.7649978796,ppm,16
clark2014d_sr-ANU9000,ANU9000,169.7586899956,7.4894610592,ppm,16
clark2014d_y-ANU9000,ANU9000,17.7763654738,0.7076961125,ppm,16
clark2014d_zr-ANU9000,ANU9000,119.0804474042,4.6336867751,ppm,16
clark2014d_nb-ANU9000,ANU9000,2.2260211525,0.0446064289,ppm,16
clark2014d_mo-ANU9000,ANU9000,3.0628242223,0.0573287983,ppm,16
clark2014d_sn-ANU9000,ANU9000,0.8587710114,0.1477157405,ppm,16
clark2014d_cs-ANU9000,ANU9000,1.4907417374,0.0605722796,ppm,16
clark2014d_ba-ANU9000,ANU9000,465.0402698094,25.0088259846,ppm,16
clark2014d_la-ANU9000,ANU9000,11.3070570163,0.4994866997,ppm,16
clark2014d_ce-ANU9000,ANU9000,24.2654466265,1.0325397614,ppm,16
clark2014d_pr-ANU9000,ANU9000,3.0045948643,0.1513643079,ppm,16
clark2014d_nd-ANU9000,ANU9000,11.3506443794,0.5575255387,ppm,16
clark2014d_sm-ANU9000,ANU9000,2.7105884446,0.126285454,ppm,16
clark2014d_eu-ANU9000,ANU9000,0.5965806318,0.0300837264,ppm,16
clark2014d_gd-ANU9000,ANU9000,2.6818377995,0.1172712333,ppm,16
clark2014d_tb-ANU9000,ANU9000,0.4154767308,0.0205915702,ppm,16
clark2014d_dy-ANU9000,ANU9000,2.8377736385,0.12435803,ppm,16
clark2014d_ho-ANU9000,ANU9000,,,,
clark2014d_er-ANU9000,ANU9000,1.9703795863,0.0886718898,ppm,16
clark2014d_tm-ANU9000,ANU9000,0.3097155324,0.014647295,ppm,16
clark2014d_yb-ANU9000,ANU9000,2.2630332353,0.1032148649,ppm,16
clark2014d_lu-ANU9000,ANU9000,0.3583777817,0.0176324895,ppm,16
clark2014d_hf-ANU9000,ANU9000,,,,
clark2014d_ta-ANU9000,ANU9000,0.1428283267,0.0109818065,ppm,16
clark2014d_pb-ANU9000,ANU9000,9.4777349098,0.4426935185,ppm,16
clark2014d_th-ANU9000,ANU9000,2.458455484,0.165169256,ppm,16
clark2014d_u-ANU9000,ANU9000,1.5756036112,0.0816334243,ppm,16
clark2014b_sio2-ANU9000,ANU9000,,,,
clark2014b_tio2-ANU9000,ANU9000,,,,
clark2014b_al2o3-ANU9000,ANU9000,,,,
clark2014b_fe2o3-ANU9000,ANU9000,,,,
clark2014b_cao-ANU9000,ANU9000,,,,
clark2014b_mgo-ANU9000,ANU9000,,,,
clark2014b_mno-ANU9000,ANU9000,,,,
clark2014b_k2o-ANU9000,ANU9000,,,,
clark2014b_na2o-ANU9000,ANU9000,,,,
clark2014b_p2o5-ANU9000,ANU9000,,,,
clark2014d_be-ANU9000,ANU9000,,,,
clark2014d_ge-ANU9000,ANU9000,,,,
clark2014d_ag-ANU9000,ANU9000,,,,
clark2014d_cd-ANU9000,ANU9000,,,,
clark2014d_in-ANU9000,ANU9000,,,,
clark2014d_sb-ANU9000,ANU9000,,,,
clark2014d_bi-ANU9000,ANU9000,,,,
clark2014c_p2o5-ANU9000,ANU9000,,,,
collerson2007a_sio2-BCR-2,BCR-2,54.77,0.11,%,
collerson2007a_tio2-BCR-2,BCR-2,2.38,0.11,%,
collerson2007a_al2o3-BCR-2,BCR-2,13.53,0.17,%,
collerson2007a_feo-BCR-2,BCR-2,10.59,0.19,%,
collerson2007a_cao-BCR-2,BCR-2,7.18,0.05,%,
collerson2007a_mgo-BCR-2,BCR-2,3.63,0.03,%,
collerson2007a_mno-BCR-2,BCR-2,0.2,0.001,%,
collerson2007a_k2o-BCR-2,BCR-2,1.81,0.03,%,
collerson2007a_na2o-BCR-2,BCR-2,3.21,0.08,%,
collerson2007a_p2o5-BCR-2,BCR-2,0.39,0.0005,%,
collerson2007b_li-BHVO-1,BHVO-1,4.7,1.3,%,254
collerson2007b_li-BCR-21,BCR-21,9.16,0.85,%,254
