Source_ID,Sample_ID,scope
charleux2014,charleux2014_Eiao-1,sample
charleux2014,charleux2014_Eiao-1,artefact
charleux2014,charleux2014_Eiao-100,sample
charleux2014,charleux2014_Eiao-100,artefact
charleux2014,charleux2014_Eiao-101,sample
charleux2014,charleux2014_Eiao-101,artefact
charleux2014,charleux2014_Eiao-102,sample
charleux2014,charleux2014_Eiao-102,artefact
charleux2014,charleux2014_Eiao-103,sample
charleux2014,charleux2014_Eiao-103,artefact
charleux2014,charleux2014_Eiao-106,sample
charleux2014,charleux2014_Eiao-106,artefact
charleux2014,charleux2014_Eiao-107,sample
charleux2014,charleux2014_Eiao-107,artefact
charleux2014,charleux2014_Eiao-109,sample
charleux2014,charleux2014_Eiao-109,artefact
charleux2014,charleux2014_Eiao-111,sample
charleux2014,charleux2014_Eiao-111,artefact
charleux2014,charleux2014_Eiao-112,sample
charleux2014,charleux2014_Eiao-112,artefact
charleux2014,charleux2014_Eiao-114,sample
charleux2014,charleux2014_Eiao-114,artefact
charleux2014,charleux2014_Eiao-115,sample
charleux2014,charleux2014_Eiao-115,artefact
charleux2014,charleux2014_Eiao-116,sample
charleux2014,charleux2014_Eiao-116,artefact
charleux2014,charleux2014_Eiao-119,sample
charleux2014,charleux2014_Eiao-119,artefact
charleux2014,charleux2014_Eiao-120,sample
charleux2014,charleux2014_Eiao-120,artefact
charleux2014,charleux2014_Eiao-121,sample
charleux2014,charleux2014_Eiao-121,artefact
charleux2014,charleux2014_Eiao-122,sample
charleux2014,charleux2014_Eiao-122,artefact
charleux2014,charleux2014_Eiao-123,sample
charleux2014,charleux2014_Eiao-123,artefact
charleux2014,charleux2014_Eiao-124,sample
charleux2014,charleux2014_Eiao-124,artefact
charleux2014,charleux2014_Eiao-125,sample
charleux2014,charleux2014_Eiao-125,artefact
charleux2014,charleux2014_Eiao-126,sample
charleux2014,charleux2014_Eiao-126,artefact
charleux2014,charleux2014_Eiao-127,sample
charleux2014,charleux2014_Eiao-127,artefact
charleux2014,charleux2014_Eiao-129,sample
charleux2014,charleux2014_Eiao-129,artefact
charleux2014,charleux2014_Eiao-130,sample
charleux2014,charleux2014_Eiao-130,artefact
charleux2014,charleux2014_Eiao-131,sample
charleux2014,charleux2014_Eiao-131,artefact
charleux2014,charleux2014_Eiao-133,sample
charleux2014,charleux2014_Eiao-133,artefact
charleux2014,charleux2014_Eiao-136,sample
charleux2014,charleux2014_Eiao-136,artefact
charleux2014,charleux2014_Eiao-137,sample
charleux2014,charleux2014_Eiao-137,artefact
charleux2014,charleux2014_Eiao-139,sample
charleux2014,charleux2014_Eiao-139,artefact
charleux2014,charleux2014_Eiao-140,sample
charleux2014,charleux2014_Eiao-140,artefact
charleux2014,charleux2014_Eiao-142,sample
charleux2014,charleux2014_Eiao-142,artefact
charleux2014,charleux2014_Eiao-145,sample
charleux2014,charleux2014_Eiao-145,artefact
charleux2014,charleux2014_Eiao-146,sample
charleux2014,charleux2014_Eiao-146,artefact
charleux2014,charleux2014_Eiao-148,sample
charleux2014,charleux2014_Eiao-148,artefact
charleux2014,charleux2014_Eiao-15,sample
charleux2014,charleux2014_Eiao-15,artefact
charleux2014,charleux2014_Eiao-153,sample
charleux2014,charleux2014_Eiao-153,artefact
charleux2014,charleux2014_Eiao-155,sample
charleux2014,charleux2014_Eiao-155,artefact
charleux2014,charleux2014_Eiao-156,sample
charleux2014,charleux2014_Eiao-156,artefact
charleux2014,charleux2014_Eiao-157,sample
charleux2014,charleux2014_Eiao-157,artefact
charleux2014,charleux2014_Eiao-158,sample
charleux2014,charleux2014_Eiao-158,artefact
charleux2014,charleux2014_Eiao-159,sample
charleux2014,charleux2014_Eiao-159,artefact
charleux2014,charleux2014_Eiao-16,sample
charleux2014,charleux2014_Eiao-16,artefact
charleux2014,charleux2014_Eiao-160,sample
charleux2014,charleux2014_Eiao-160,artefact
charleux2014,charleux2014_Eiao-161,sample
charleux2014,charleux2014_Eiao-161,artefact
charleux2014,charleux2014_Eiao-162,sample
charleux2014,charleux2014_Eiao-162,artefact
charleux2014,charleux2014_Eiao-163,sample
charleux2014,charleux2014_Eiao-163,artefact
charleux2014,charleux2014_Eiao-164,sample
charleux2014,charleux2014_Eiao-164,artefact
charleux2014,charleux2014_Eiao-165,sample
charleux2014,charleux2014_Eiao-165,artefact
charleux2014,charleux2014_Eiao-168,sample
charleux2014,charleux2014_Eiao-168,artefact
charleux2014,charleux2014_Eiao-169,sample
charleux2014,charleux2014_Eiao-169,artefact
charleux2014,charleux2014_Eiao-17,sample
charleux2014,charleux2014_Eiao-17,artefact
charleux2014,charleux2014_Eiao-170,sample
charleux2014,charleux2014_Eiao-170,artefact
charleux2014,charleux2014_Eiao-172,sample
charleux2014,charleux2014_Eiao-172,artefact
charleux2014,charleux2014_Eiao-176,sample
charleux2014,charleux2014_Eiao-176,artefact
charleux2014,charleux2014_Eiao-177,sample
charleux2014,charleux2014_Eiao-177,artefact
charleux2014,charleux2014_Eiao-178,sample
charleux2014,charleux2014_Eiao-178,artefact
charleux2014,charleux2014_Eiao-183,sample
charleux2014,charleux2014_Eiao-183,artefact
charleux2014,charleux2014_Eiao-185,sample
charleux2014,charleux2014_Eiao-185,artefact
charleux2014,charleux2014_Eiao-187,sample
charleux2014,charleux2014_Eiao-187,artefact
charleux2014,charleux2014_Eiao-19,sample
charleux2014,charleux2014_Eiao-19,artefact
charleux2014,charleux2014_Eiao-190,sample
charleux2014,charleux2014_Eiao-190,artefact
